Lap,Time,Pace,GAP,HR,Distance_km,file,Activity,KM,Elev,Cadence
1.0,5.95,5.95,5.683333333333334,115,1.0,../data/run-efforts-table/1.html,1,,,
2.0,5.883333333333333,5.883333333333333,5.416666666666667,133,1.0,../data/run-efforts-table/1.html,1,,,
3.0,5.633333333333333,5.633333333333333,5.683333333333334,124,1.0,../data/run-efforts-table/1.html,1,,,
4.0,5.366666666666666,5.366666666666666,5.416666666666667,123,1.0,../data/run-efforts-table/1.html,1,,,
5.0,5.65,5.65,5.666666666666667,129,1.0,../data/run-efforts-table/1.html,1,,,
6.0,6.266666666666667,6.266666666666667,5.55,145,1.0,../data/run-efforts-table/1.html,1,,,
7.0,5.516666666666667,5.516666666666667,5.366666666666666,130,1.0,../data/run-efforts-table/1.html,1,,,
8.0,5.616666666666667,5.616666666666667,5.266666666666667,128,1.0,../data/run-efforts-table/1.html,1,,,
9.0,5.7,5.7,5.183333333333334,148,1.0,../data/run-efforts-table/1.html,1,,,
10.0,6.083333333333333,6.083333333333333,5.383333333333334,140,1.0,../data/run-efforts-table/1.html,1,,,
11.0,11.016666666666667,11.016666666666667,6.783333333333333,133,1.0,../data/run-efforts-table/1.html,1,,,
12.0,4.916666666666667,4.916666666666667,5.05,137,1.0,../data/run-efforts-table/1.html,1,,,
13.0,7.2,7.2,5.833333333333333,135,1.0,../data/run-efforts-table/1.html,1,,,
14.0,5.283333333333333,5.283333333333333,5.066666666666666,139,1.0,../data/run-efforts-table/1.html,1,,,
15.0,5.216666666666667,5.216666666666667,5.25,134,1.0,../data/run-efforts-table/1.html,1,,,
16.0,6.5,6.5,5.316666666666666,129,1.0,../data/run-efforts-table/1.html,1,,,
17.0,5.366666666666666,5.366666666666666,5.366666666666666,132,1.0,../data/run-efforts-table/1.html,1,,,
18.0,5.566666666666666,5.566666666666666,5.483333333333333,132,1.0,../data/run-efforts-table/1.html,1,,,
19.0,5.583333333333333,5.583333333333333,5.5,130,1.0,../data/run-efforts-table/1.html,1,,,
20.0,9.4,9.4,5.683333333333334,129,1.0,../data/run-efforts-table/1.html,1,,,
21.0,6.15,6.15,5.933333333333334,125,1.0,../data/run-efforts-table/1.html,1,,,
22.0,6.233333333333333,6.233333333333333,6.283333333333333,123,1.0,../data/run-efforts-table/1.html,1,,,
23.0,5.416666666666667,5.416666666666667,5.35,132,1.0,../data/run-efforts-table/1.html,1,,,
24.0,5.466666666666667,5.466666666666667,5.416666666666667,134,1.0,../data/run-efforts-table/1.html,1,,,
25.0,5.616666666666667,5.616666666666667,5.433333333333334,134,1.0,../data/run-efforts-table/1.html,1,,,
26.0,5.566666666666666,5.566666666666666,5.483333333333333,135,1.0,../data/run-efforts-table/1.html,1,,,
27.0,5.466666666666667,5.466666666666667,5.416666666666667,137,1.0,../data/run-efforts-table/1.html,1,,,
28.0,5.883333333333333,5.883333333333333,5.3,138,1.0,../data/run-efforts-table/1.html,1,,,
29.0,5.483333333333333,5.483333333333333,5.466666666666667,137,1.0,../data/run-efforts-table/1.html,1,,,
30.0,12.75,12.75,6.416666666666667,128,1.0,../data/run-efforts-table/1.html,1,,,
31.0,5.566666666666666,5.566666666666666,5.45,132,1.0,../data/run-efforts-table/1.html,1,,,
32.0,5.416666666666667,5.416666666666667,5.433333333333334,135,1.0,../data/run-efforts-table/1.html,1,,,
33.0,5.866666666666667,5.866666666666667,5.816666666666666,135,1.0,../data/run-efforts-table/1.html,1,,,
34.0,5.633333333333333,5.633333333333333,5.483333333333333,135,1.0,../data/run-efforts-table/1.html,1,,,
